DT,ЭКСГАУСТЕР 6. ТОК СТАТОРА,ЭКСГАУСТЕР 6. ВИБРАЦИЯ НА ОПОРЕ 2,ЭКСГАУСТЕР 6. ВИБРАЦИЯ НА ОПОРЕ 4,ЭКСГАУСТЕР 6. ВИБРАЦИЯ НА ОПОРЕ 3,ЭКСГАУСТЕР 6. ВИБРАЦИЯ НА ОПОРЕ 4. ПРОДОЛЬНАЯ,ЭКСГАУСТЕР 6. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 1,ЭКСГАУСТЕР 6. ДАВЛЕНИЕ МАСЛА В СИСТЕМЕ,ЭКСГАУСТЕР 6. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 3,ЭКСГАУСТЕР 6. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 4,ЭКСГАУСТЕР 6. ТЕМПЕРАТУРА МАСЛА В МАСЛОБЛОКЕ,ЭКСГАУСТЕР 6. ТОК РОТОРА 2,ЭКСГАУСТЕР 6. ВИБРАЦИЯ НА ОПОРЕ 1,ЭКСГАУСТЕР 6. ВИБРАЦИЯ НА ОПОРЕ 3. ПРОДОЛЬНАЯ,ЭКСГАУСТЕР 6. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 2,ЭКСГАУСТЕР 6. ТОК РОТОРА 1,ЭКСГАУСТЕР 6. ТЕМПЕРАТУРА МАСЛА В СИСТЕМЕ
2022-08-30 08:14:10,253.91,1.26,0.49,1.69,1.96,59.22,112.5,55.17,51.11,48.68,319.91,3.12,1.88,51.92,319.91,46.24
2022-08-30 08:15:20,253.12,1.29,0.47,1.71,1.14,60.03,114.93,55.98,51.11,49.49,319.91,3.15,1.84,51.92,319.91,46.24
2022-08-30 13:06:50,245.83,1.16,0.54,1.46,0.9,60.85,110.53,57.6,53.54,51.11,321.76,3.21,1.23,52.73,321.76,46.24
2022-08-30 13:07:50,244.36,1.19,0.49,1.48,0.81,60.85,110.88,56.79,52.73,50.3,321.76,3.19,1.2,53.54,321.76,46.24
2022-08-31 10:57:00,250.87,0.98,0.56,1.35,0.66,56.79,117.82,53.54,47.86,46.24,332.41,2.87,0.97,51.11,332.41,36.51
2022-08-31 10:57:30,249.31,0.87,0.54,1.36,0.64,55.98,117.71,53.54,47.05,46.24,331.94,2.88,0.88,51.11,331.94,36.51
2022-08-31 15:30:10,247.48,0.99,0.56,1.44,0.76,55.98,119.33,52.73,47.86,46.24,331.48,2.69,1.25,50.3,331.48,40.56
2022-08-31 15:30:40,249.13,0.98,0.52,1.37,0.61,55.98,117.13,52.73,47.05,46.24,331.48,2.73,1.28,50.3,331.48,39.75
2022-08-31 15:40:50,251.22,0.99,0.5,1.36,0.88,55.98,119.68,52.73,47.05,46.24,331.48,2.68,1.06,50.3,331.48,38.13
2022-08-31 15:41:30,247.92,0.96,0.57,1.38,0.73,55.98,118.06,52.73,47.86,45.43,331.02,2.8,0.88,51.11,331.02,38.94
2022-10-05 15:19:30,272.54999999999995,1.3933333333333333,0.5860000000000001,1.051111111111111,1.36,49.027142857142856,117.63222222222223,48.133333333333326,44.215,39.588,329.45625000000007,2.723333333333333,0.7777777777777778,46.24,329.45625000000007,37.158
2022-10-05 15:21:10,273.52250000000004,1.4144444444444446,0.6325000000000001,1.0166666666666666,1.182222222222222,49.085,117.53375,47.05,44.215,39.345,329.1666666666667,2.7175000000000002,0.798888888888889,45.6325,329.1666666666667,36.833999999999996
2022-12-27 09:54:00,277.34,1.46,0.19,1.81,1.74,47.05,135.65,43.81,42.19,40.56,342.59,2.48,1.64,43.0,342.59,25.15
